,titles,links,num
0,머신러닝 / 딥러닝 / AI 초간단 개념정리,/watch?v=UWb8WZBEEWo,"조회수 24,969회"
1,머신러닝 vs 딥러닝 vs 인공지능? A.I. 개념정리!,/watch?v=arbbhHyRP90,"조회수 287,323회"
2,"머신러닝 딥러닝 공부법 (입문자들이 꼭 봐야할 영상) /  머신러닝 기초 개념 / 빅데이터, 데이터사이언스",/watch?v=uTjHfUlKJyU,"조회수 9,840회"
3,머신러닝 준비물 : 텐서플로우 (feat.케라스),/watch?v=mviPXahg8SA,"조회수 318,570회"
4,Top 5 머신러닝 알고리즘,/watch?v=gKQJvr0UHis,"조회수 7,095회"
5,"인공지능, 머신러닝, 딥러닝? 대체 차이가 뭐야? l AI궁금해",/watch?v=np7DdtStwd0,"조회수 16,986회"
6,Machine learning 1 - 2. 머신러닝이란?,/watch?v=KR8ddnPjCtk,"조회수 48,116회"
7,머신러닝 쉽게 배우는 방법,/watch?v=432p379XXMw,"조회수 58,999회"
8,대기업 마케팅 최고 임원이 말하는 잘 팔기 위한 7가지 방법 (최명화),/watch?v=qLNysUuLhXQ,"조회수 95,401회"
9,NBA 파이널 2차전 7월 9일 피닉스 밀워키 | NBA 승부예측 | NBA 빅데이터 | 농구 빅데이터 | NBA 머신러닝  | 프로토 | 스포츠토토  | 농구토토 | AI분석,/watch?v=gGaFEAP4EZ0,조회수 260회
10,'소프트웨어' 한 방 정리! [안될과학-긴급과학 X LG CNS],/watch?v=P2-IC5oZ_pU,"조회수 55,329회"
11,최강의 오목 AI와 인간의 대결,/watch?v=7yN7kYyjpqo,"조회수 149,664회"
12,머신러닝의 기초 - 선형 회귀 한 번에 제대로 이해하기 (30분만 투자해봐요!),/watch?v=ve6gtpZV83E,"조회수 101,028회"
13,개쉬운 딥러닝 1강 : 머신러닝 개념부터 중학교 레벨로 설명해줌,/watch?v=U57LVkQVf4o,"조회수 4,217회"
14,[머신러닝] 컴퓨터가 학습을 하는 원리,/watch?v=ZY6eBxyEOq0,"조회수 119,441회"
15,"[09] 머신러닝의 종류와 특징 - 지도학습, 비지도학습, 강화학습",/watch?v=qJoqYKdDwKI,"조회수 10,812회"
16,텐서플로우가 뭔가요? (설치없이 머신러닝 사용해보기),/watch?v=oy5BGW8D5wc,"조회수 34,876회"
17,머신러닝(기계학습) overview of Machine Learning,/watch?v=IiyYsAMmmw4,"조회수 8,453회"
18,딥러닝?? 머신러닝?? 대체 뭐가 다른거야? 딥러닝과 머신러닝의 차이점에 대해 아는척 해보자.,/watch?v=NbLVcMmxSw0,"조회수 8,081회"
19,"인공지능의 학습법과 응용 사례 (머신러닝, 딥러닝, GAN) [안될과학-긴급과학 X 삼성SDS ]",/watch?v=Ym3IM9y4U5U,"조회수 200,640회"
